QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,,,,,,,,201743_at,207175_at,201243_s_at,,228929_at,
,,,,,,,,,,,,201765_s_at,207178_s_at,1553147_at,,229070_at,
,,,,,,,,,,,,201783_s_at,207331_at,223939_at,,229526_at,
,,,,,,,,,,,,201792_at,207384_at,1561644_x_at,,229724_at,
,,,,,,,,,,,,201796_s_at,207714_s_at,224178_s_at,,230481_at,
,,,,,,,,,,,,201797_s_at,207794_at,204430_s_at,,230554_at,
,,,,,,,,,,,,201812_s_at,207826_s_at,1559114_a_at,,230573_at,
,,,,,,,,,,,,201819_at,207827_x_at,203608_at,,230782_at,
,,,,,,,,,,,,201841_s_at,207828_s_at,232737_s_at,,230863_at,
,,,,,,,,,,,,201843_s_at,207847_s_at,208563_x_at,,230914_at,
,,,,,,,,,,,,201853_s_at,207977_s_at,1557311_at,,230995_at,
,,,,,,,,,,,,201860_s_at,208015_at,214602_at,,231015_at,
,,,,,,,,,,,,201892_s_at,208233_at,220995_at,,231623_at,
,,,,,,,,,,,,201921_at,208414_s_at,221298_s_at,,231790_at,
,,,,,,,,,,,,201954_at,208647_at,242617_at,,234197_at,
,,,,,,,,,,,,201981_at,208668_x_at,212327_at,,234310_s_at,
,,,,,,,,,,,,201982_s_at,208782_at,224043_s_at,,234536_at,
,,,,,,,,,,,,202006_at,208791_at,204347_at,,234586_at,
,,,,,,,,,,,,202096_s_at,208792_s_at,219630_at,,234981_x_at,
,,,,,,,,,,,,202180_s_at,208885_at,205650_s_at,,236150_at,
,,,,,,,,,,,,202205_at,208912_s_at,242789_at,,236481_at,
,,,,,,,,,,,,202285_s_at,209035_at,231208_at,,236496_at,
,,,,,,,,,,,,202286_s_at,209082_s_at,204818_at,,236630_at,
,,,,,,,,,,,,202287_s_at,209118_s_at,1563035_x_at,,236646_at,
,,,,,,,,,,,,202332_at,209156_s_at,1560033_at,,236972_at,
,,,,,,,,,,,,202376_at,209167_at,231052_at,,237029_at,
,,,,,,,,,,,,202378_s_at,209168_at,1555612_s_at,,237142_at,
,,,,,,,,,,,,202422_s_at,209169_at,241542_at,,237350_at,
,,,,,,,,,,,,202458_at,209170_s_at,220554_at,,237989_at,
,,,,,,,,,,,,202570_s_at,209172_s_at,205369_x_at,,238160_at,
,,,,,,,,,,,,202571_s_at,209220_at,1552477_a_at,,238428_at,
,,,,,,,,,,,,202572_s_at,209280_at,219970_at,,238518_x_at,
,,,,,,,,,,,,202613_at,209283_at,216080_s_at,,239929_at,
,,,,,,,,,,,,202637_s_at,209335_at,205682_x_at,,240114_s_at,
,,,,,,,,,,,,202638_s_at,209356_x_at,228432_at,,240144_at,
,,,,,,,,,,,,202647_s_at,209372_x_at,232625_at,,240285_at,
